Threshold, ,   ,      ,Baseline Approach,           , ,      ,Disj 10  ,          , ,      ,Disj 30  ,          , ,      ,Disj 10 w/ Sample Data,          , ,      ,Disj 30 w/ Sample Data,          
         , ,Folds,Recall,Precision        ,Specificity, ,Recall,Precision,Specificty, ,Recall,Precision,Specificty, ,Recall,Precision             ,Specificty, ,Recall,Precision             ,Specificty
1.4, ,1,0.4117647058823529,0.6666666666666666,0.7307692307692307, ,0.4411764705882353,0.6,0.6153846153846154, ,0.4117647058823529,0.56,0.5769230769230769, ,0.5,0.6538461538461539,0.6538461538461539, ,0.4117647058823529,0.6363636363636364,0.6923076923076923
1.4, ,2,0.4230769230769231,0.44,0.5882352941176471, ,0.34615384615384615,0.5294117647058824,0.7647058823529411, ,0.6153846153846154,0.7272727272727273,0.8235294117647058, ,0.5384615384615384,0.5,0.5882352941176471, ,0.6538461538461539,0.7083333333333334,0.7941176470588235
1.4, ,3,0.6666666666666666,0.7142857142857143,0.7333333333333333, ,0.5,0.5357142857142857,0.5666666666666667, ,0.5666666666666667,0.5483870967741935,0.5333333333333333, ,0.5,0.5357142857142857,0.5666666666666667, ,0.5666666666666667,0.6071428571428571,0.6333333333333333
1.4, ,4,0.7037037037037037,0.5588235294117647,0.5454545454545454, ,0.6296296296296297,0.6296296296296297,0.696969696969697, ,0.5185185185185185,0.56,0.6666666666666666, ,0.5185185185185185,0.5185185185185185,0.6060606060606061, ,0.6296296296296297,0.6071428571428571,0.6666666666666666
1.4, ,5,0.48484848484848486,0.6153846153846154,0.6296296296296297, ,0.3333333333333333,0.7857142857142857,0.8888888888888888, ,0.3333333333333333,0.6111111111111112,0.7407407407407407, ,0.24242424242424243,0.6666666666666666,0.8518518518518519, ,0.45454545454545453,0.75,0.8148148148148148
Average:            , , ,0.5380120968356262,0.5990321051497521,0.6454844066608773, ,0.4500586559410089,0.6160939931528167,0.7065231500525618, ,0.48913356795709734,0.6013541870316064,0.6682386458857046, ,0.4598808598808599,0.5749491249491249,0.6533321145085852, ,0.5432905221140516,0.6617965367965368,0.7202480308362661
Standard Deviation: , , ,0.12327252285396517,0.09490329072552862,0.07553243424562903, ,0.10884831288477675,0.09293866774976282,0.11366602830358169, ,0.10302799388429452,0.06659808790704892,0.10574707876262297, ,0.10965379094238244,0.07067956693420926,0.10333773922132986, ,0.09528710372509487,0.057561108705089764,0.07156170285607555
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
