Threshold, ,   ,      ,Baseline Approach,           , ,      ,Disj 10  ,          , ,      ,Disj 30  ,          , ,      ,Disj 10 w/ Sample Data,          , ,      ,Disj 30 w/ Sample Data,          
         , ,Folds,Recall,Precision        ,Specificity, ,Recall,Precision,Specificty, ,Recall,Precision,Specificty, ,Recall,Precision             ,Specificty, ,Recall,Precision             ,Specificty
Average:            , , ,0.3582995267072346,0.5255434782608696,0.6828094844223875, ,0.1477518593644354,0.6382539682539683,0.9159911772814999, ,0.371788370520622,0.6244285714285713,0.7703611800385994, ,0.19687288708586886,0.5124509992931046,0.7993382961124896, ,0.3413624070317782,0.6036752136752137,0.7682244279018473
Standard Deviation: , , ,0.11369836829952344,0.11218995142698042,0.07353443924938978, ,0.06508412989159311,0.19795655503679532,0.047978887290642924, ,0.07574506415321594,0.1382255214661189,0.10079136867879326, ,0.09857550158855911,0.2048351219559153,0.12369599146933195, ,0.07109811568033458,0.13239212780932494,0.09408750709562974
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.7, ,1,0.6071428571428571,0.7083333333333334,0.78125, ,0.17857142857142858,0.8333333333333334,0.96875, ,0.32142857142857145,0.6923076923076923,0.875, ,0.21428571428571427,0.4,0.71875, ,0.32142857142857145,0.6923076923076923,0.875
1.7, ,2,0.36666666666666664,0.5789473684210527,0.7333333333333333, ,0.0,0.0,0.9666666666666667, ,0.4,0.75,0.8666666666666667, ,0.06666666666666667,0.2857142857142857,0.8333333333333334, ,0.3333333333333333,0.5555555555555556,0.7333333333333333
1.7, ,3,0.3333333333333333,0.5555555555555556,0.7333333333333333, ,0.1,0.75,0.9666666666666667, ,0.3,0.9,0.9666666666666667, ,0.13333333333333333,0.8,0.9666666666666667, ,0.3,0.8181818181818182,0.9333333333333333
1.7, ,4,0.3333333333333333,0.4,0.5, ,0.06666666666666667,0.3333333333333333,0.8666666666666667, ,0.16666666666666666,0.45454545454545453,0.8, ,0.1,0.42857142857142855,0.8666666666666667, ,0.16666666666666666,0.45454545454545453,0.8
1.7, ,5,0.34375,0.5,0.6071428571428571, ,0.21875,0.875,0.9642857142857143, ,0.46875,0.6521739130434783,0.7142857142857143, ,0.28125,0.75,0.8928571428571429, ,0.40625,0.6842105263157895,0.7857142857142857
Average:            , , ,0.39684523809523803,0.5485672514619884,0.6710119047619048, ,0.11279761904761905,0.5583333333333333,0.9466071428571429, ,0.3313690476190477,0.6898054119793251,0.8445238095238097, ,0.15910714285714284,0.5328571428571429,0.8556547619047621, ,0.3055357142857143,0.6409602093812621,0.8254761904761905
Standard Deviation: , , ,0.1058512759979089,0.10092372856629267,0.10319368718497238, ,0.07818855124943332,0.33911649915626346,0.03999521655071735, ,0.10177763822040359,0.14462004836878392,0.08400275343721783, ,0.07831569131195187,0.2040208072621966,0.081326603518832, ,0.07808189854133027,0.12486718404709658,0.07043596020354888
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.8, ,1,0.3793103448275862,0.4074074074074074,0.4838709677419355, ,0.034482758620689655,0.3333333333333333,0.9354838709677419, ,0.3448275862068966,0.6666666666666666,0.8387096774193549, ,0.10344827586206896,0.5,0.9032258064516129, ,0.3448275862068966,0.6666666666666666,0.8387096774193549
