Protein,Sensitivity,Specificity
HpCD00780306,0.5,0.9966666666666667

HpCD00780314,0.5,1.0

HpCD00780394,0.5,0.9966666666666667

HpCD00780402,0.5,1.0

HpCD00780410,0.5,1.0

HpCD00780299,0.5033333333333333,1.0

HpCD00780307,0.5,1.0

HpCD00780315,0.5,1.0

HpCD00780395,0.5,1.0

HpCD00780403,0.5,0.9966666666666667

HpCD00780411,0.5,1.0

HpCD00780300,0.5033333333333333,1.0

HpCD00780308,0.5,0.9966666666666667

HpCD00780316,0.5,0.9966666666666667

HpCD00780396,0.5,0.99

HpCD00780404,0.5,0.99

HpCD00780412,0.5033333333333333,0.9966666666666667

HpCD00780301,0.5,1.0

HpCD00780309,0.5,1.0

HpCD00780317,0.5033333333333333,1.0

HpCD00780397,0.5,1.0

HpCD00780405,0.5,1.0

HpCD00780413,0.5,1.0

HpCD00780302,0.5,1.0

HpCD00780310,0.5,1.0

HpCD00780318,0.5,1.0

HpCD00780398,0.5,0.99

HpCD00780406,0.5,0.99

HpCD00780414,0.5,0.9933333333333333

HpCD00780415,0.5,0.9966666666666667

HpCD00780423,0.5,1.0

HpCD00780431,0.5,1.0

HpCD00780511,0.5,0.9966666666666667

HpCD00780519,0.5,1.0

HpCD00780527,0.5,1.0

HpCD00780416,0.5,0.9933333333333333

HpCD00780424,0.5,1.0

HpCD00780432,0.5,0.9933333333333333

HpCD00780512,0.5,1.0

HpCD00780520,0.5,1.0

HpCD00780528,0.5,1.0

HpCD00780417,0.5,0.9966666666666667

HpCD00780425,0.5,1.0

HpCD00780433,0.5,0.9966666666666667

HpCD00780513,0.5,1.0

HpCD00780521,0.5,1.0

HpCD00780529,0.5033333333333333,1.0

HpCD00780418,0.5,0.9966666666666667

HpCD00780426,0.5,0.9966666666666667

HpCD00780434,0.5033333333333333,0.9966666666666667

HpCD00780514,0.5,0.9933333333333333

HpCD00780522,0.5033333333333333,1.0

HpCD00780530,0.5033333333333333,0.9966666666666667

HpCD00780419,0.5,0.9966666666666667

HpCD00780427,0.5,1.0

HpCD00780435,0.5,1.0

HpCD00780515,0.5,0.9933333333333333

HpCD00780523,0.5,0.9966666666666667

HpCD00780531,0.5033333333333333,1.0

HpCD00780420,0.5,0.9966666666666667

HpCD00780428,0.5,0.9933333333333333

HpCD00780436,0.5,0.9933333333333333

HpCD00780516,0.5,0.9933333333333333

HpCD00780524,0.5,0.9933333333333333

HpCD00780532,0.5,0.99

HpCD00780421,0.5033333333333333,0.9966666666666667

HpCD00780429,0.5,1.0

HpCD00780437,0.5,0.9966666666666667

HpCD00780517,0.5,0.9966666666666667

HpCD00780525,0.5066666666666667,0.9966666666666667

HpCD00780533,0.5033333333333333,0.9966666666666667

HpCD00780422,0.5033333333333333,0.9966666666666667

HpCD00780430,0.5,1.0

HpCD00780438,0.5,1.0

HpCD00780518,0.5,1.0

HpCD00780526,0.5,0.9966666666666667

HpCD00780534,0.5,1.0

HpCD00780439,0.5,1.0

HpCD00780447,0.5,1.0

HpCD00780455,0.5,0.9966666666666667

HpCD00780535,0.5,1.0

HpCD00780543,0.5,1.0

HpCD00780551,0.5,1.0

HpCD00780440,0.5,1.0

HpCD00780448,0.5,0.9966666666666667

HpCD00780456,0.5,1.0

HpCD00780536,0.5,1.0

HpCD00780544,0.5,0.9933333333333333

HpCD00780552,0.5,1.0

HpCD00780441,0.5,0.9966666666666667

HpCD00780449,0.5,1.0

HpCD00780457,0.5,1.0

HpCD00780537,0.5,1.0

HpCD00780545,0.5,1.0

HpCD00780553,0.5033333333333333,1.0

HpCD00780442,0.5,1.0

HpCD00780450,0.5,0.9966666666666667

HpCD00780458,0.5066666666666667,0.9933333333333333

HpCD00780538,0.5033333333333333,0.9966666666666667

HpCD00780546,0.5,0.9933333333333333

HpCD00780554,0.5033333333333333,0.9866666666666667

HpCD00780443,0.5033333333333333,0.99

HpCD00780451,0.5,1.0

HpCD00780459,0.5033333333333333,0.9866666666666667

HpCD00780539,0.5033333333333333,0.9966666666666667

HpCD00780547,0.5,1.0

HpCD00780555,0.5,1.0

HpCD00780444,0.5,0.9966666666666667

HpCD00780452,0.5033333333333333,0.9966666666666667

HpCD00780460,0.5,1.0

HpCD00780540,0.5066666666666667,0.99

HpCD00780548,0.5033333333333333,0.9966666666666667

HpCD00780556,0.5,0.9966666666666667

HpCD00780445,0.5,0.9966666666666667

HpCD00780453,0.5,1.0

HpCD00780461,0.5,1.0

HpCD00780541,0.51,1.0

HpCD00780549,0.5033333333333333,1.0

HpCD00780557,0.5,1.0

HpCD00780446,0.5033333333333333,1.0

HpCD00780454,0.5,0.9966666666666667

HpCD00780462,0.5033333333333333,1.0

HpCD00780542,0.5,1.0

HpCD00780550,0.5,1.0

HpCD00780558,0.5,1.0

HpCD00780463,0.5,1.0

HpCD00780471,0.5,1.0

HpCD00780479,0.5,1.0

HpCD00780559,0.5,1.0

HpCD00780567,0.5,1.0

HpCD00780575,0.5,1.0

HpCD00780464,0.5,0.9933333333333333

HpCD00780472,0.5,0.9933333333333333

HpCD00780480,0.5,0.9966666666666667

HpCD00780560,0.5,1.0

HpCD00780568,0.5,1.0

HpCD00780576,0.5066666666666667,0.9966666666666667

HpCD00780465,0.5,0.9966666666666667

HpCD00780473,0.5,0.9966666666666667

HpCD00780481,0.5,0.9966666666666667

HpCD00780561,0.5,1.0

HpCD00780569,0.5,1.0

HpCD00780577,0.5,1.0

HpCD00780466,0.5,0.99

HpCD00780474,0.5,0.9966666666666667

HpCD00780482,0.5,0.9933333333333333

HpCD00780562,0.5,0.9966666666666667

HpCD00780570,0.5,0.9933333333333333

HpCD00780578,0.5,0.9966666666666667

HpCD00780467,0.5,0.9966666666666667

HpCD00780475,0.5,1.0

HpCD00780483,0.5033333333333333,1.0

HpCD00780563,0.5033333333333333,0.9966666666666667

HpCD00780571,0.5033333333333333,1.0

HpCD00780579,0.5033333333333333,0.9966666666666667

HpCD00780468,0.5,1.0

HpCD00780476,0.5,1.0

HpCD00780484,0.5,0.9966666666666667

HpCD00780564,0.51,1.0

HpCD00780572,0.5,1.0

HpCD00780580,0.5,0.9933333333333333

HpCD00780469,0.5066666666666667,0.9933333333333333

HpCD00780477,0.5033333333333333,0.9966666666666667

HpCD00780485,0.5033333333333333,0.9966666666666667

HpCD00780565,0.5033333333333333,1.0

HpCD00780573,0.5033333333333333,1.0

HpCD00780581,0.5,1.0

HpCD00780470,0.5,1.0

HpCD00780478,0.5033333333333333,0.9966666666666667

HpCD00780486,0.5033333333333333,0.9966666666666667

HpCD00780566,0.5,0.9966666666666667

HpCD00780574,0.5,1.0

HpCD00780582,0.5,1.0

HpCD00780487,0.5,1.0

HpCD00780495,0.5,1.0

HpCD00780503,0.5,1.0

HpCD00780583,0.5,1.0

HpCD00780591,0.5,1.0

HpCD00780599,0.5,1.0

HpCD00780488,0.5,1.0

HpCD00780496,0.5,1.0

HpCD00780504,0.5,1.0

HpCD00780584,0.5,1.0

HpCD00780592,0.5,1.0

HpCD00780600,0.5033333333333333,1.0

HpCD00780489,0.5,0.9966666666666667

HpCD00780497,0.5,1.0

HpCD00780505,0.5,0.9966666666666667

HpCD00780585,0.5,1.0

HpCD00780593,0.5,1.0

HpCD00780601,0.5,1.0

HpCD00780490,0.5,0.9966666666666667

HpCD00780498,0.5,0.9966666666666667

HpCD00780506,0.5,0.9966666666666667

