Protein,Sensitivity,Specificity
HpCD00780956,0.5,0.9933333333333333

HpCD00780964,0.5,1.0

HpCD00780853,0.5,0.9966666666666667

HpCD00780861,0.5,1.0

HpCD00780869,0.5,1.0

HpCD00780949,0.5066666666666667,1.0

HpCD00780957,0.5,1.0

HpCD00780965,0.5,1.0

HpCD00780854,0.5,0.9966666666666667

HpCD00780862,0.5033333333333333,1.0

HpCD00780870,0.5066666666666667,1.0

HpCD00780950,0.5,1.0

HpCD00780958,0.5,0.9966666666666667

HpCD00780966,0.5,1.0

HpCD00780871,0.5,1.0

HpCD00780879,0.5,1.0

HpCD00780887,0.5,1.0

HpCD00780967,0.5,1.0

HpCD00780975,0.5233333333333333,0.99

HpCD00780983,0.5,1.0

HpCD00780872,0.5,1.0

HpCD00780880,0.5,1.0

HpCD00780888,0.5,1.0

HpCD00780968,0.5,1.0

HpCD00780976,0.5,1.0

HpCD00780984,0.5,1.0

HpCD00780873,0.5,0.9966666666666667

HpCD00780881,0.5,1.0

HpCD00780889,0.5,0.9966666666666667

HpCD00780969,0.5,0.9966666666666667

HpCD00780977,0.5,1.0

HpCD00780985,0.5033333333333333,0.9933333333333333

HpCD00780874,0.51,0.9866666666666667

HpCD00780882,0.5,0.9966666666666667

HpCD00780890,0.5,0.9933333333333333

HpCD00780970,0.5,1.0

