Threshold, ,   ,      ,Baseline Approach,           , ,      ,Disj 10  ,          , ,      ,Disj 30  ,          , ,      ,Disj 10 w/ Sample Data,          , ,      ,Disj 30 w/ Sample Data,          
         , ,Folds,Recall,Precision        ,Specificity, ,Recall,Precision,Specificty, ,Recall,Precision,Specificty, ,Recall,Precision             ,Specificty, ,Recall,Precision             ,Specificty
1.5, ,1,0.21428571428571427,0.4,0.71875, ,0.32142857142857145,0.4090909090909091,0.59375, ,0.4642857142857143,0.5,0.59375, ,0.42857142857142855,0.4444444444444444,0.53125, ,0.6428571428571429,0.6428571428571429,0.6875
1.5, ,2,0.4117647058823529,0.6086956521739131,0.6538461538461539, ,0.4117647058823529,0.56,0.5769230769230769, ,0.23529411764705882,0.4444444444444444,0.6153846153846154, ,0.2647058823529412,0.47368421052631576,0.6153846153846154, ,0.35294117647058826,0.5714285714285714,0.6538461538461539
1.5, ,3,0.5925925925925926,0.5,0.5151515151515151, ,0.5555555555555556,0.46875,0.48484848484848486, ,0.5185185185185185,0.5185185185185185,0.6060606060606061, ,0.5185185185185185,0.42424242424242425,0.42424242424242425, ,0.5555555555555556,0.4838709677419355,0.5151515151515151
1.5, ,4,0.4444444444444444,0.48,0.6060606060606061, ,0.5555555555555556,0.4166666666666667,0.36363636363636365, ,0.25925925925925924,0.3333333333333333,0.5757575757575758, ,0.4074074074074074,0.44,0.5757575757575758, ,0.3333333333333333,0.34615384615384615,0.48484848484848486
1.5, ,5,0.38235294117647056,0.8125,0.8846153846153846, ,0.3235294117647059,0.4583333333333333,0.5, ,0.38235294117647056,0.6842105263157895,0.7692307692307693, ,0.4411764705882353,0.5172413793103449,0.46153846153846156, ,0.47058823529411764,0.64,0.6538461538461539
Average:            , , ,0.409088079676315,0.5602391304347826,0.6756847319347319, ,0.43356676003734834,0.4625681818181818,0.5038315850815851, ,0.37194211017740425,0.49610136452241715,0.6320367132867133, ,0.4120759414877062,0.45992249170470584,0.5216346153846154, ,0.4710550887021475,0.5368621056362992,0.5990384615384615
Standard Deviation: , , ,0.12132095640117838,0.14263746395938098,0.1237755961654245, ,0.10480558514571228,0.05388112063327831,0.08180149971220224, ,0.11089677078941362,0.1140742339633186,0.06986769386900729, ,0.08269062054775433,0.03281579686096577,0.07057988320111122, ,0.11796157919164736,0.11157501033543345,0.08235238989823603
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
